depth;pointid;oc;th_lat;th_long;survey_date;elev;lc0_desc;lc1_desc;lu1_desc
0-20 cm;147322802;14.9;48.19292023;15.53143347;29/05/18;0;Grassland;Grassland without tree/shrub cover;Road transport
0-20 cm;147362862;17.9;48.72821368;15.64534213;20/06/18;0;Cropland;Triticale;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147402780;41.7;47.9901826;15.61683824;29/05/18;0;Grassland;Grassland without tree/shrub cover;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147422872;55.7;48.81369528;15.73701883;26/06/18;0;Grassland;Spontaneously re-vegetated surfaces;Forestry
0-20 cm;147462794;24.1;48.11159718;15.71109418;05/07/18;0;Woodland;Broadleaved woodland;Forestry
0-20 cm;147462830;17;48.43438076;15.74777325;24/05/18;0;Cropland;Durum wheat;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147482864;54.7;48.73776101;15.81008072;25/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147502772;418.5;47.91152793;15.74232302;24/07/18;0;Woodland;Pine dominated mixed woodland;Forestry
0-20 cm;147522746;29.1;47.67695905;15.74276958;23/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147202790;22;48.09323732;15.35904016;16/05/18;0;Cropland;Barley;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147522800;20.4;48.16119375;15.7975866;05/07/18;0;Woodland;Broadleaved woodland;Semi-natural and natural areas not in use
0-20 cm;147522858;18.1;48.68113594;15.8579662;12/06/18;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147702818;15.5;48.30955796;16.0581072;24/05/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147582744;219.3;47.65480589;15.82039312;23/07/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147602836;34.4;48.47819549;15.94276715;19/06/18;0;Woodland;Broadleaved woodland;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147622754;481;47.7416345;15.88374465;21/06/18;0;Woodland;Spruce dominated coniferous woodland;Forestry
0-20 cm;147822764;46.2;47.81664234;16.16029648;17/05/18;0;Cropland;Maize;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147642862;22;48.70829192;16.02476493;23/05/18;0;Cropland;Vineyards;Agriculture (excluding fallow land and kitchen gardens)
0-20 cm;147662810;18.7;48.24079034;15.99581379;27/05/18;0;Cropland;Temporary grassland;Agriculture (excluding fallow land and kitchen gardens)
